country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Aruba,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,0.0,0.0,0.11,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.16,0.174,0.174,0.213,0.236
Angola,0.0,0.0,0.0592,0.0,0.0,0.0,0.0,0.0,0.0,0.0621,0.0,0.0,0.0,0.0,0.131,0.0
Albania,1.36,1.38,1.39,1.39,0.0,1.38,1.31,1.17,1.19,1.19,0.0,1.18,1.2,0.0,1.23,1.23
Andorra,2.24,0.0,2.46,2.53,0.0,2.57,2.6,2.9,3.33,3.13,3.23,3.01,3.01,0.0,3.15,0.0
UAE,0.0,0.0,0.0,0.0,0.0,1.8,1.98,2.0,2.08,1.92,1.52,1.33,1.41,1.64,1.52,1.42
Argentina,0.0,0.0,0.0,3.02,0.0,0.0,3.25,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,0.686,0.662,0.653,0.673,0.693,2.7,2.62,2.56,2.46,2.46,2.56,2.59,2.67,2.74,2.77,2.84
American Samoa,0.0,0.0,0.0,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.76,1.14,0.0,0.0,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.527,0.0,0.0
Australia,2.4,2.53,0.0,0.0,0.0,2.49,2.57,2.57,2.64,2.71,2.78,2.83,3.0,3.01,3.11,3.34
Austria,3.49,3.56,3.64,3.76,3.76,3.85,3.96,4.03,4.12,4.21,4.34,4.47,4.55,4.62,4.71,4.8
Azerbaijan,3.76,3.72,3.64,3.56,3.54,3.57,3.55,3.56,3.55,3.56,3.58,3.56,3.71,3.68,3.68,3.66
Burundi,0.055,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0482
Belgium,3.5,3.6,3.7,3.7,2.79,2.82,2.84,2.85,2.85,2.85,2.85,2.87,2.89,2.9,2.91,2.91
Benin,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0401,0.0,0.0,0.0,0.0623,0.0,0.0558
Burkina Faso,0.034,0.035,0.038,0.0,0.0,0.0,0.04,0.0,0.0,0.0543,0.0,0.0,0.0,0.0322,0.0446,0.0457
