country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,39000000.0,40100000.0,41100000.0,42200000.0
Angola,16399999.999999998,16900000.0,17500000.0,18100000.0,18800000.0,19500000.0,20200000.0,20900000.0,21700000.0,22500000.0,23400000.0,24300000.0,25200000.0,26100000.0,27100000.0,28100000.0,29200000.0,30200000.0,31300000.0,32400000.0,33400000.0,34500000.0,35600000.0,36700000.0
Albania,3180000.0,3150000.0,3120000.0,3090000.0,3060000.0,3030000.0,3000000.0,2980000.0,2950000.0,2930000.0,2910000.0,2900000.0,2890000.0,2890000.0,2880000.0,2880000.0,2880000.0,2880000.0,2880000.0,2870000.0,2870000.0,2850000.0,2840000.0,2830000.0
Andorra,66100.0,67800.0,70800.0,73900.0,76900.0,79800.0,80200.0,78200.0,76100.0,73900.0,71500.0,70600.0,71000.0,71400.0,71600.0,71700.0,72500.0,73800.0,75000.0,76300.0,77700.0,79000.0,79800.0,80100.0
United Arab Emirates,3280000.0,3450000.0,3630000.0,3810000.0,3990000.0,4280000.0,4900000.0,5870000.0,6990000.0,7990000.0,8480000.0,8580000.0,8660000.0,8750000.0,8840000.0,8920000.0,8990000.0,9070000.0,9140000.0,9210000.0,9290000.0,9370000.0,9440000.0,9520000.0
Argentina,37100000.0,37500000.0,37900000.0,38300000.0,38700000.0,39100000.0,39500000.0,39900000.0,40300000.0,40700000.0,41100000.0,41500000.0,42000000.0,42400000.0,42800000.0,43300000.0,43700000.0,44100000.0,44400000.0,44700000.0,45000000.0,45300000.0,45500000.0,45800000.0
Armenia,3170000.0,3130000.0,3110000.0,3080000.0,3070000.0,3050000.0,3030000.0,3000000.0,2980000.0,2960000.0,2950000.0,2930000.0,2910000.0,2900000.0,2890000.0,2880000.0,2870000.0,2850000.0,2840000.0,2820000.0,2810000.0,2790000.0,2780000.0,2780000.0
Antigua and Barbuda,75100.0,76200.0,77200.0,78100.0,78900.0,79900.0,80900.0,82000.0,83300.0,84500.0,85700.0,86700.0,87700.0,88500.0,89200.0,89900.0,90600.0,91100.0,91600.0,92100.0,92700.0,93200.0,93800.0,94300.0
Australia,19000000.0,19200000.0,19500000.0,19700000.0,19900000.0,20200000.0,20500000.0,20800000.0,21200000.0,21700000.0,22000000.0,22400000.0,22700000.0,23100000.0,23500000.0,23800000.0,24200000.0,24600000.0,25000000.0,25400000.0,25700000.0,25900000.0,26200000.0,26400000.0
Austria,8010000.0,8039999.999999999,8080000.0,8119999.999999999,8170000.0,8230000.0,8270000.0,8289999.999999999,8320000.0,8340000.0,8359999.999999999,8390000.0,8430000.0,8480000.0,8550000.0,8640000.0,8740000.0,8800000.0,8840000.0,8880000.0,8910000.0,8920000.0,8940000.0,8960000.0
Azerbaijan,8189999.999999999,8279999.999999999,8369999.999999999,8460000.0,8560000.0,8660000.0,8760000.0,8880000.0,9000000.0,9120000.0,9240000.0,9360000.0,9490000.0,9610000.0,9740000.0,9860000.0,9980000.0,10100000.0,10200000.0,10200000.0,10300000.0,10300000.0,10400000.0,10400000.0
Burundi,6310000.0,6470000.0,6650000.0,6860000.0,7120000.0,7390000.0,7660000.0,7940000.0,8279999.999999999,8710000.0,9130000.0,9460000.0,9800000.0,10100000.0,10500000.0,10700000.0,10900000.0,11200000.0,11500000.0,11900000.0,12200000.0,12600000.0,12900000.0,13200000.0
Belgium,10300000.0,10300000.0,10400000.0,10400000.0,10500000.0,10500000.0,10600000.0,10700000.0,10700000.0,10800000.0,10900000.0,11000000.0,11000000.0,11100000.0,11200000.0,11200000.0,11300000.0,11400000.0,11400000.0,11500000.0,11600000.0,11600000.0,11700000.0,11700000.0
Benin,7000000.0,7210000.0,7430000.0,7660000.0,7890000.0,8150000.0,8400000.0,8650000.0,8910000.0,9170000.0,9450000.0,9730000.0,10000000.0,10300000.0,10600000.0,10900000.0,11300000.0,11600000.0,11900000.0,12300000.0,12600000.0,13000000.0,13400000.0,13700000.0
Burkina Faso,11900000.0,12200000.0,12600000.0,13000000.0,13400000.0,13900000.0,14300000.0,14800000.0,15200000.0,15700000.0,16100000.000000002,16600000.000000002,17100000.0,17600000.0,18200000.0,18700000.0,19300000.0,19800000.0,20400000.0,21000000.0,21500000.0,22100000.0,22700000.0,23300000.0
Bangladesh,129000000.0,132000000.0,134000000.0,137000000.0,139000000.0,141000000.0,143000000.0,144000000.0,145000000.0,147000000.0,148000000.0,150000000.0,152000000.0,154000000.0,156000000.0,158000000.0,160000000.0,162000000.0,164000000.0,166000000.0,167000000.0,169000000.0,171000000.0,173000000.0
Bulgaria,8100000.0,8029999.999999999,7970000.0,7920000.0,7870000.0,7820000.0,7770000.0,7720000.0,7670000.0,7630000.0,7590000.0,7540000.0,7490000.0,7430000.0,7370000.0,7310000.0,7250000.0,7180000.0,7120000.0,7050000.0,6980000.0,6890000.0,6780000.0,6690000.0
Bahrain,711000.0,730000.0,748000.0,778000.0,833000.0,902000.0,971000.0,1040000.0,1110000.0,1180000.0,1210000.0,1210000.0,1220000.0,1260000.0,1310000.0,1360000.0,1410000.0,1460000.0,1490000.0,1490000.0,1480000.0,1460000.0,1470000.0,1490000.0
Bahamas,325000.0,330000.0,334000.0,338000.0,343000.0,348000.0,353000.0,358000.0,363000.0,368000.0,373000.0,378000.0,382000.0,386000.0,389000.0,393000.0,396000.0,399000.0,402000.0,405000.0,406000.0,408000.0,410000.0,413000.0
Bosnia and Herzegovina,4179999.9999999995,4190000.0000000005,4200000.0,4179999.9999999995,4139999.9999999995,4090000.0,4059999.9999999995,4010000.0,3940000.0,3880000.0,3810000.0,3740000.0,3670000.0,3620000.0,3570000.0,3520000.0,3480000.0,3440000.0,3400000.0,3360000.0,3320000.0,3270000.0,3230000.0,3210000.0
Belarus,10300000.0,10200000.0,10100000.0,10100000.0,10000000.0,9940000.0,9870000.0,9830000.0,9790000.0,9760000.0,9730000.0,9710000.0,9690000.0,9690000.0,9690000.0,9700000.0,9710000.0,9710000.0,9700000.0,9670000.0,9630000.0,9580000.0,9530000.0,9500000.0
Belize,240000.0,248000.0,256000.0,264000.0,272000.0,280000.0,289000.0,297000.0,306000.0,314000.0,322000.0,330000.0,337000.0,345000.0,352000.0,360000.0,367000.0,375000.0,382000.0,389000.0,395000.0,400000.0,405000.0,411000.0
Bolivia,8590000.0,8750000.0,8900000.0,9060000.0,9220000.0,9380000.0,9540000.0,9710000.0,9880000.0,10100000.0,10200000.0,10400000.0,10600000.0,10700000.0,10900000.0,11100000.0,11300000.0,11400000.0,11600000.0,11800000.0,11900000.0,12100000.0,12200000.0,12400000.0
Brazil,176000000.0,178000000.0,180000000.0,183000000.0,185000000.0,187000000.0,189000000.0,191000000.0,193000000.0,195000000.0,196000000.0,198000000.0,200000000.0,202000000.0,203000000.0,205000000.0,207000000.0,209000000.0,210000000.0,212000000.0,213000000.0,214000000.0,215000000.0,216000000.0
