Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.32686831,43.61639362,43.2921732,51.02408764,53.53217352,56.31083622,66.32833037,72.79174183,75.92888792,82.64512789,82.52892352,85.13091792,84.96829265,87.5322523,92.62545245,98.53700565,97.53255669,94.36851024,95.37778471,98.10791317,102.8884343,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.779684005,6.27787606,5.199075868,5.62974613,5.538590061,6.339159177,8.42079025,8.320093035,8.143218947,8.260165531,6.746567342,8.965854668,10.03269529,11.15782561,12.14563483,13.48068229,11.65651343,10.77558453,24.62942023,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.06975069,19.87453311,16.52150892,23.26310701,29.1291522,30.98123971,28.34306666,27.20689899,26.78133902,28.13379686,25.67654941,28.0600895,29.60145738,29.62776941,28.52105241,31.64100761,29.17784898,30.13556741,30.81239246,32.63526975,40.10264159,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.49813456,69.27566183,49.54277102,56.25235649,71.21885114,61.80741733,77.38621939,104.1692303,141.3194762,168.3165379,110.251719,114.7875402,115.5197918,129.5772421,107.0747847,89.77978348,84.15268272,93.22205688,77.21499912,70.74730034,77.44955068,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.6627641,114.8712642,117.8663501,131.2148828,151.323064,155.2388378,167.4524371,177.0397762,186.6104581,205.8420889,229.0130448,241.8485672,259.1727844,273.2555328,292.5298194,318.2496018,338.0721367,340.9337587,379.6765372,398.6566725,396.0092127,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253.855476,1315.086836,1434.427228,1341.501985,1309.313472,1505.770169,1381.510625,1487.636601,1880.948729,2078.767356,2971.21764,2920.765382,2414.653592,2433.665026,2534.366796,2723.078551,2627.16136,2719.882633,2891.813705,2970.766627,3453.488106,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.6064721,262.6574381,259.6614802,250.4253768,259.4641135,256.2574894,277.6969219,295.1492436,293.958378,380.6500958,347.0809517,370.1038367,382.4967799,427.4320031,467.9009631,454.435912,477.9442565,494.1775787,473.4453751,329.9641653,367.6579575,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531.541789,1769.396364,1522.227309,1566.388202,1459.327558,1380.560703,1379.411693,1377.378991,1513.792991,2015.064633,1797.481195,1876.990962,1811.50768,1912.588811,1978.057457,1721.472254,1664.403549,1563.977859,1545.007872,1691.431312,2459.822431,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.2878723,573.2688889,450.908227,462.6781553,455.2751061,528.5865565,598.0620246,701.6485087,780.8983686,921.5633546,998.1236766,1090.875031,1198.67564,1246.800108,1240.957826,1368.08588,1133.426095,1556.911445,1391.402767,1399.63999,1384.698263,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.58636674,39.06210261,39.66341012,47.73442779,58.45489695,78.90730596,99.42595102,118.963571,120.3838565,127.6716927,123.6147708,131.8515475,146.25528,135.1301827,152.2784159,163.1514686,179.5650585,171.6955443,167.2883787,210.6646862,331.3704945,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.2140172,526.3614462,513.0559911,592.9595603,565.6562497,573.9284284,581.2411995,598.8493927,561.8562722,527.8405633,664.0691931,649.0845841,623.3793939,600.5626713,686.0649402,621.0352469,594.7565081,568.9367596,658.7462142,613.9207433,651.9061917,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1546.11205,1617.186769,1747.290596,1821.461576,1970.386965,2042.232492,2165.829157,2329.742568,2394.393618,2603.525807,2610.692326,2777.445084,2712.268065,2832.732206,3289.676711,3416.233013,3597.394354,3660.457012,3817.011483,3977.79913,4452.713886,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007.494947,2033.057257,2156.010712,2250.391793,2371.380923,2456.832943,2619.596425,2740.327604,2969.805136,3051.106563,3112.898996,3246.04429,3461.928497,3569.084668,3685.708052,3771.061666,3962.904754,4164.077564,4397.866727,4567.984825,4888.49819,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.84026131,29.19617723,29.8487409,35.15905812,43.28289539,59.95159442,77.42576909,102.7196682,108.9744194,155.046741,145.4165428,137.5460568,174.1588961,178.9738335,192.5863815,190.3657258,163.5308036,138.4424724,132.298602,188.4854888,226.2860526,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.808410463,9.177581613,8.590898638,7.392162639,13.40069323,11.70302124,14.05581043,15.00103779,9.739117993,12.87961535,12.51307891,22.42672973,17.40356147,10.73219284,20.31214252,19.28741326,17.98241637,15.87679499,16.39952665,18.19443376,17.08872909,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658.445085,1771.426274,1861.20197,2105.198998,2248.396505,2296.283976,2409.302618,2503.267687,2764.578458,2984.81589,3115.066767,3243.456496,3405.393897,3516.494405,3637.600832,3829.723969,4041.80194,4195.62979,4389.121175,4411.521265,4657.656541,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.93406206,16.7189787,13.49876318,12.64228384,14.47760068,13.72831546,15.02287961,13.15901969,12.90549929,17.1527082,16.67946693,18.70754905,18.12616752,19.81092421,15.797702,16.34927819,16.67975135,23.89326912,15.26976001,17.79848861,29.1961794,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.657483816,9.248289361,10.35174319,10.208881,18.40761904,14.37811988,17.85212146,18.53011877,18.44416294,22.41420183,18.99920945,20.68854854,16.6920902,26.27055388,26.64666957,24.14236758,43.76095407,51.87694337,44.69164803,48.91280337,62.40714132,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.013314292,6.376247868,8.083217723,8.701895724,9.213885939,9.336945579,10.77736625,11.96302873,11.62545483,11.976896,13.67515927,15.04784974,16.41035576,16.33051133,16.87025109,16.37977146,21.67891443,24.2748877,25.5366972,25.31501268,23.97340934,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.3749727,263.0271344,325.866227,366.5109621,375.4330894,420.792562,412.9632921,438.3910935,497.6739233,501.7380717,584.1692846,603.7897244,623.4961167,670.7624464,785.8807368,757.3148785,822.2703619,880.4152162,968.7419591,1023.790811,1249.32205,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934.46633,1028.54263,1079.685088,1099.5177,1036.204996,1019.104895,983.7376533,1001.931755,1003.415917,1337.32142,1277.760426,1261.589392,1443.167453,1507.327099,1493.118721,1485.251237,1350.561735,1255.901948,1217.235971,1197.045121,1491.981677,,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.7633686,411.6832185,408.5042171,437.352725,442.4003452,458.3461811,498.3630139,556.0522356,632.0877438,677.4049968,692.5760171,704.2166876,709.3024604,774.1893701,790.8667595,738.402684,891.4905055,1270.332707,1078.595083,1126.045729,1447.618879,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.133331,185.2377828,205.7520116,269.0745875,279.0338729,286.8626836,333.4488994,394.082119,454.0620433,533.5276275,557.5578013,605.6012702,657.8536751,709.6924484,742.9848562,756.433361,833.9117413,839.8747181,905.9933794,959.7122303,1053.728268,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.1635619,267.7804046,275.5193897,325.161425,375.7603294,438.5862048,440.7098115,495.0630354,486.6614148,476.4438349,576.2172394,498.6196676,607.6138588,660.5026277,624.8985326,650.6684438,727.4234766,711.9391508,737.7127845,807.1694588,911.3542926,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.8975942,141.2146734,150.4245367,153.9498577,157.0355018,167.6148601,191.249474,235.7129368,284.2736545,276.3967278,285.9889254,287.810399,262.0586602,272.9040668,280.6997322,293.1442213,304.4405207,282.9369256,292.4478809,304.184654,313.4223265,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.9059093,89.87677001,91.52592286,99.61798826,96.39340956,110.7856437,111.4534769,125.0021348,129.421558,154.8787692,155.2750851,162.0255936,174.2102426,212.0863191,255.5437268,301.112153,325.3792302,366.700528,415.9661828,435.2818978,457.8683457,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.4859505,323.4750926,350.8772472,340.0773101,360.7293421,366.2894283,410.8681634,435.8305938,464.9806302,490.3461249,509.8301962,519.4761574,503.0051974,551.6952378,579.4195899,566.2317949,561.0002905,572.3311288,582.2424561,599.2218299,684.4429286,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.3633119,381.8745474,414.8227039,515.3304174,617.864414,588.2033969,611.8417543,569.5509481,632.4746942,656.1511747,599.7213096,560.3741391,676.8268591,599.3823805,511.7597733,509.3231315,515.5065472,486.1621128,483.3777813,471.6503006,542.4580909,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575.186548,1601.145646,1656.856676,1736.746054,1729.147215,1550.7955,1428.406965,1504.789679,1475.625653,1848.102961,1646.460589,1404.191878,1460.839599,1415.427985,1419.688103,1396.693698,1343.32414,1292.163885,1402.247389,1326.152,1462.579968,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.00495269,97.23427749,99.45887544,93.40812987,106.1107913,98.52802489,100.0740487,125.5346136,121.5378039,144.1004684,153.7480188,161.5844279,181.3564492,191.3815574,195.756085,247.3610931,256.4549615,261.2047353,289.8577287,315.7411352,386.8555062,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.0425531,292.6633719,331.3800497,332.7750646,325.8131234,289.857353,305.2478205,368.3956827,465.1251286,396.2462691,452.2063292,477.563191,504.7510118,544.4003889,572.1661648,554.9626595,586.2201338,735.2042553,637.156512,690.9238667,654.0294592,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.62912572,9.979769564,9.97933368,10.61899535,10.69212772,7.823978275,9.775560353,10.4838944,7.049332305,6.371331457,5.189699397,3.9193532,6.377190916,6.722876338,4.764856489,3.344812274,4.721159082,6.119172363,6.182410839,7.540745332,10.87830915,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1764.479732,1899.305254,1988.861009,2133.698598,2249.280233,2399.326366,2475.679269,2603.430726,2708.195346,2926.93124,3004.184661,3047.266183,3135.580526,3265.609786,3316.256506,3388.177476,3572.437979,3658.765432,3791.053292,3774.884479,4535.506802,4420.723024,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.2601953,465.0390281,524.6187459,580.1621249,609.4582136,657.5604181,713.2306682,785.9862501,912.9563887,974.9745909,1021.708156,1031.310703,1057.554471,1149.40277,1188.253103,1217.340575,1311.09345,1416.134592,1539.669351,1656.900103,1837.504241,,
