country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,1.25,1.61,2.52,2.81,3.5,3.75,3.91,4.39
Angola,13.5,8.72,10.5,6.65,6.55,12.5,18.3,14.3,19.4,19.7,27.1,50.9,68.4,126.0,181.0,102.0
Albania,13.9,17.1,14.2,18.6,28.1,27.2,30.5,32.5,40.6,63.9,71.4,75.5,88.8,109.0,107.0,94.0
Andorra,897.0,983.0,967.0,1340.0,942.0,862.0,890.0,1020.0,1300.0,1520.0,1630.0,1850.0,2100.0,2370.0,2360.0,2170.0
UAE,583.0,580.0,588.0,565.0,559.0,577.0,638.0,578.0,611.0,588.0,608.0,659.0,718.0,1010.0,1310.0,1080.0
Argentina,368.0,357.0,373.0,383.0,400.0,382.0,367.0,121.0,148.0,174.0,217.0,259.0,334.0,437.0,488.0,405.0
Armenia,7.97,8.16,7.36,10.0,9.63,7.07,11.0,10.6,13.9,16.3,23.6,33.0,48.3,63.5,56.0,54.2
Antigua and Barbuda,233.0,227.0,246.0,264.0,278.0,281.0,266.0,267.0,279.0,291.0,305.0,351.0,397.0,409.0,403.0,490.0
Australia,1030.0,1150.0,1180.0,1050.0,1190.0,1150.0,1080.0,1240.0,1540.0,1920.0,2100.0,2220.0,2670.0,2880.0,2680.0,3250.0
Austria,2110.0,2050.0,1930.0,2020.0,2050.0,1820.0,1820.0,1950.0,2410.0,2790.0,2920.0,3040.0,3520.0,3980.0,3910.0,3840.0
Azerbaijan,4.33,6.02,6.15,5.04,5.62,5.64,5.9,5.96,7.21,10.5,13.6,20.8,36.7,45.0,65.4,67.3
Burundi,3.01,2.87,2.41,2.33,2.08,2.01,2.3,2.01,1.65,3.44,4.67,6.17,6.65,6.81,6.72,7.91
Belgium,1640.0,1680.0,1440.0,1480.0,1500.0,1380.0,1410.0,1530.0,2250.0,2680.0,2750.0,2690.0,3070.0,3560.0,3570.0,3450.0
Benin,8.11,8.24,6.87,7.74,8.3,6.94,8.58,7.64,11.0,11.9,13.4,14.3,16.0,17.0,18.0,15.0
Burkina Faso,4.15,4.55,4.48,4.98,5.47,4.32,4.11,5.56,8.17,12.2,15.8,14.9,18.0,21.6,19.3,20.3
Bangladesh,23.8,24.4,20.4,21.2,22.3,24.2,27.1,29.4,30.4,33.7,37.4,43.0,47.4,49.1,53.1,58.0
Bulgaria,60.5,38.5,45.8,57.8,63.9,59.5,75.5,94.3,125.0,145.0,167.0,169.0,218.0,278.0,256.0,237.0
Bahrain,336.0,336.0,353.0,330.0,343.0,336.0,354.0,386.0,428.0,444.0,475.0,485.0,513.0,565.0,540.0,634.0
Bahamas,335.0,353.0,396.0,458.0,497.0,523.0,524.0,556.0,582.0,633.0,635.0,804.0,805.0,829.0,815.0,791.0
Bosnia and Herzegovina,30.0,41.5,39.5,40.7,61.9,60.9,67.1,78.8,123.0,139.0,145.0,169.0,223.0,294.0,304.0,307.0
Belarus,49.2,66.5,75.0,68.8,56.6,47.9,58.5,66.8,87.5,115.0,154.0,168.0,207.0,243.0,199.0,248.0
Belize,74.1,58.0,63.7,62.3,61.0,69.5,88.0,87.2,95.4,96.5,105.0,113.0,133.0,138.0,154.0,150.0
Bolivia,25.6,28.8,29.6,33.3,36.7,36.9,36.0,37.5,30.7,32.6,38.6,41.3,44.4,55.6,58.4,60.6
Brazil,136.0,142.0,153.0,143.0,103.0,107.0,96.3,90.7,94.8,121.0,156.0,205.0,255.0,306.0,320.0,466.0
Barbados,306.0,318.0,322.0,347.0,372.0,396.0,429.0,459.0,456.0,472.0,498.0,543.0,560.0,628.0,494.0,652.0
Brunei,375.0,519.0,515.0,482.0,458.0,477.0,432.0,439.0,488.0,558.0,582.0,598.0,662.0,754.0,710.0,748.0
Bhutan,12.9,19.2,24.4,25.0,38.2,40.9,39.3,58.5,37.3,34.9,44.0,56.2,73.8,80.9,78.5,94.2
Botswana,65.3,65.6,77.7,71.3,75.5,94.4,126.0,145.0,180.0,346.0,311.0,291.0,386.0,407.0,442.0,446.0
Central African Republic,4.86,3.48,4.05,3.4,3.9,4.13,3.82,4.39,4.72,4.9,4.42,4.84,5.72,6.16,6.25,6.44
Canada,1300.0,1290.0,1310.0,1300.0,1360.0,1470.0,1500.0,1560.0,1880.0,2130.0,2430.0,2730.0,3050.0,3260.0,3190.0,3680.0
Switzerland,2290.0,2320.0,2030.0,2110.0,2110.0,1950.0,2110.0,2390.0,2880.0,3210.0,3310.0,3290.0,3590.0,4160.0,4290.0,4610.0
Chile,127.0,142.0,156.0,163.0,158.0,169.0,159.0,157.0,134.0,167.0,201.0,249.0,295.0,337.0,382.0,456.0
China,10.7,12.3,13.7,14.8,15.8,16.6,16.8,19.4,22.1,26.6,31.2,38.0,53.7,78.2,100.0,118.0
Cote d'Ivoire,8.56,10.6,11.0,10.8,9.9,8.35,5.98,6.93,7.68,9.35,7.74,8.51,13.6,17.1,12.7,12.9
Cameroon,5.86,5.97,6.1,5.15,5.45,5.53,6.78,8.56,10.8,10.4,10.6,10.8,11.9,13.1,15.7,18.2
"Congo, Dem. Rep.",0.19,0.14,0.27,0.23,0.659,0.543,0.31,0.27,1.16,1.42,2.19,2.78,3.7,6.46,7.48,6.7
"Congo, Rep.",14.5,15.5,14.0,14.0,13.5,12.5,11.6,11.8,13.5,18.4,24.6,31.7,34.7,38.7,31.8,33.8
Cook Is,244.0,223.0,171.0,161.0,144.0,158.0,230.0,208.0,296.0,328.0,414.0,359.0,427.0,420.0,408.0,506.0
Colombia,109.0,149.0,175.0,172.0,157.0,131.0,125.0,123.0,123.0,145.0,178.0,193.0,239.0,266.0,278.0,343.0
Comoros,13.5,12.3,10.5,8.82,7.98,5.47,4.17,6.95,9.46,11.8,13.4,15.4,19.1,23.2,12.6,22.3
Cape Verde,50.7,47.3,44.5,47.5,46.0,42.0,48.2,51.9,59.8,78.6,75.6,95.1,103.0,114.0,111.0,116.0
Costa Rica,168.0,169.0,163.0,180.0,195.0,204.0,220.0,236.0,243.0,246.0,253.0,283.0,353.0,413.0,449.0,553.0
Cuba,101.0,108.0,114.0,121.0,139.0,151.0,161.0,172.0,181.0,186.0,282.0,332.0,557.0,557.0,623.0,555.0
Cyprus,253.0,257.0,252.0,320.0,333.0,310.0,329.0,399.0,557.0,588.0,589.0,622.0,713.0,796.0,745.0,708.0
Czech Republic,340.0,366.0,334.0,360.0,347.0,326.0,363.0,473.0,598.0,687.0,769.0,839.0,972.0,1220.0,1260.0,1240.0
Germany,2540.0,2540.0,2180.0,2180.0,2150.0,1900.0,1900.0,2060.0,2520.0,2710.0,2780.0,2860.0,3230.0,3610.0,3630.0,3600.0
Djibouti,19.2,17.9,20.9,26.1,33.2,29.6,26.9,27.4,33.6,29.3,43.2,43.9,53.9,56.1,65.5,59.8
Dominica,131.0,140.0,152.0,153.0,159.0,160.0,160.0,160.0,161.0,161.0,162.0,179.0,193.0,204.0,223.0,292.0
Denmark,2330.0,2370.0,2160.0,2190.0,2460.0,2190.0,2300.0,2550.0,3170.0,3690.0,3920.0,4240.0,4800.0,5390.0,5490.0,5470.0
Dominican Republic,22.6,26.1,35.0,44.1,50.7,60.4,54.1,57.5,43.8,36.1,62.7,78.0,83.1,99.7,115.0,140.0
Algeria,46.8,48.0,49.7,48.7,45.5,45.9,52.5,54.1,62.6,63.2,69.3,81.7,109.0,148.0,143.0,139.0
Ecuador,40.4,47.4,47.1,32.5,25.6,16.7,27.0,36.3,32.1,37.5,40.5,48.8,55.5,71.6,112.0,122.0
Egypt,17.4,19.0,22.7,26.3,29.4,31.8,30.7,29.6,23.4,23.8,26.8,33.3,34.9,42.7,44.9,46.1
Eritrea,4.04,2.89,3.84,4.03,3.88,4.33,4.83,3.68,3.63,3.78,3.6,3.83,4.09,5.39,5.09,5.74
Spain,814.0,852.0,769.0,799.0,816.0,745.0,771.0,859.0,1210.0,1410.0,1520.0,1670.0,1950.0,2270.0,2230.0,2100.0
Estonia,149.0,194.0,199.0,193.0,196.0,169.0,174.0,201.0,279.0,345.0,398.0,459.0,639.0,836.0,758.0,671.0
Ethiopia,1.6,1.61,1.8,1.99,2.1,2.85,3.23,2.87,3.43,3.43,4.14,4.61,6.7,7.29,8.33,8.41
Finland,1440.0,1440.0,1330.0,1340.0,1330.0,1210.0,1280.0,1470.0,1920.0,2230.0,2370.0,2470.0,2780.0,3170.0,3050.0,2990.0
