country,1995 Populations,1996 Populations,1997 Populations,1998 Populations,1999 Populations,2000 Populations,2001 Populations,2002 Populations,2003 Populations,2004 Populations,2005 Populations,2006 Populations,2007 Populations,2008 Populations,2009 Populations,2010 Populations,country,1995 Health Aid,1996 Health Aid,1997 Health Aid,1998 Health Aid,1999 Health Aid,2000 Health Aid,2001 Health Aid,2002 Health Aid,2003 Health Aid,2004 Health Aid,2005 Health Aid,2006 Health Aid,2007 Health Aid,2008 Health Aid,2009 Health Aid,2010 Health Aid
Afghanistan,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,1.25,1.61,2.52,2.81,3.5,3.75,3.91,4.39
Angola,13900000.0,14400000.0,14900000.0,15400000.0,15900000.0,16399999.999999998,16900000.0,17500000.0,18100000.0,18800000.0,19500000.0,20200000.0,20900000.0,21700000.0,22500000.0,23400000.0,Angola,13.5,8.72,10.5,6.65,6.55,12.5,18.3,14.3,19.4,19.7,27.1,50.9,68.4,126.0,181.0,102.0
Albania,3280000.0,3270000.0,3250000.0,3230000.0,3210000.0,3180000.0,3150000.0,3120000.0,3090000.0,3060000.0,3030000.0,3000000.0,2980000.0,2950000.0,2930000.0,2910000.0,Albania,13.9,17.1,14.2,18.6,28.1,27.2,30.5,32.5,40.6,63.9,71.4,75.5,88.8,109.0,107.0,94.0
Andorra,62900.0,64099.99999999999,64700.0,65200.0,65700.0,66100.0,67800.0,70800.0,73900.0,76900.0,79800.0,80200.0,78200.0,76100.0,73900.0,71500.0,Andorra,897.0,983.0,967.0,1340.0,942.0,862.0,890.0,1020.0,1300.0,1520.0,1630.0,1850.0,2100.0,2370.0,2360.0,2170.0
United Arab Emirates,2430000.0,2570000.0,2750000.0,2920000.0,3100000.0,3280000.0,3450000.0,3630000.0,3810000.0,3990000.0,4280000.0,4900000.0,5870000.0,6990000.0,7990000.0,8480000.0,UAE,583.0,580.0,588.0,565.0,559.0,577.0,638.0,578.0,611.0,588.0,608.0,659.0,718.0,1010.0,1310.0,1080.0
Argentina,34900000.0,35400000.0,35800000.0,36200000.0,36700000.0,37100000.0,37500000.0,37900000.0,38300000.0,38700000.0,39100000.0,39500000.0,39900000.0,40300000.0,40700000.0,41100000.0,Argentina,368.0,357.0,373.0,383.0,400.0,382.0,367.0,121.0,148.0,174.0,217.0,259.0,334.0,437.0,488.0,405.0
Armenia,3320000.0,3300000.0,3270000.0,3240000.0,3210000.0,3170000.0,3130000.0,3110000.0,3080000.0,3070000.0,3050000.0,3030000.0,3000000.0,2980000.0,2960000.0,2950000.0,Armenia,7.97,8.16,7.36,10.0,9.63,7.07,11.0,10.6,13.9,16.3,23.6,33.0,48.3,63.5,56.0,54.2
Antigua and Barbuda,68400.0,69800.0,71200.0,72600.0,73800.0,75100.0,76200.0,77200.0,78100.0,78900.0,79900.0,80900.0,82000.0,83300.0,84500.0,85700.0,Antigua and Barbuda,233.0,227.0,246.0,264.0,278.0,281.0,266.0,267.0,279.0,291.0,305.0,351.0,397.0,409.0,403.0,490.0
Australia,18000000.0,18200000.0,18400000.0,18600000.0,18800000.0,19000000.0,19200000.0,19500000.0,19700000.0,19900000.0,20200000.0,20500000.0,20800000.0,21200000.0,21700000.0,22000000.0,Australia,1030.0,1150.0,1180.0,1050.0,1190.0,1150.0,1080.0,1240.0,1540.0,1920.0,2100.0,2220.0,2670.0,2880.0,2680.0,3250.0
Austria,7950000.0,7960000.0,7970000.0,7980000.0,7990000.0,8010000.0,8039999.999999999,8080000.0,8119999.999999999,8170000.0,8230000.0,8270000.0,8289999.999999999,8320000.0,8340000.0,8359999.999999999,Austria,2110.0,2050.0,1930.0,2020.0,2050.0,1820.0,1820.0,1950.0,2410.0,2790.0,2920.0,3040.0,3520.0,3980.0,3910.0,3840.0
