country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0
Angola,13900000.0,14400000.0,14900000.0,15400000.0,15900000.0,16399999.999999998,16900000.0,17500000.0,18100000.0,18800000.0,19500000.0,20200000.0,20900000.0,21700000.0,22500000.0,23400000.0
Albania,3280000.0,3270000.0,3250000.0,3230000.0,3210000.0,3180000.0,3150000.0,3120000.0,3090000.0,3060000.0,3030000.0,3000000.0,2980000.0,2950000.0,2930000.0,2910000.0
Andorra,62900.0,64099.99999999999,64700.0,65200.0,65700.0,66100.0,67800.0,70800.0,73900.0,76900.0,79800.0,80200.0,78200.0,76100.0,73900.0,71500.0
United Arab Emirates,2430000.0,2570000.0,2750000.0,2920000.0,3100000.0,3280000.0,3450000.0,3630000.0,3810000.0,3990000.0,4280000.0,4900000.0,5870000.0,6990000.0,7990000.0,8480000.0
Argentina,34900000.0,35400000.0,35800000.0,36200000.0,36700000.0,37100000.0,37500000.0,37900000.0,38300000.0,38700000.0,39100000.0,39500000.0,39900000.0,40300000.0,40700000.0,41100000.0
Armenia,3320000.0,3300000.0,3270000.0,3240000.0,3210000.0,3170000.0,3130000.0,3110000.0,3080000.0,3070000.0,3050000.0,3030000.0,3000000.0,2980000.0,2960000.0,2950000.0
Antigua and Barbuda,68400.0,69800.0,71200.0,72600.0,73800.0,75100.0,76200.0,77200.0,78100.0,78900.0,79900.0,80900.0,82000.0,83300.0,84500.0,85700.0
Australia,18000000.0,18200000.0,18400000.0,18600000.0,18800000.0,19000000.0,19200000.0,19500000.0,19700000.0,19900000.0,20200000.0,20500000.0,20800000.0,21200000.0,21700000.0,22000000.0
Austria,7950000.0,7960000.0,7970000.0,7980000.0,7990000.0,8010000.0,8039999.999999999,8080000.0,8119999.999999999,8170000.0,8230000.0,8270000.0,8289999.999999999,8320000.0,8340000.0,8359999.999999999
Azerbaijan,7890000.0,7950000.0,8000000.0,8039999.999999999,8100000.0,8189999.999999999,8279999.999999999,8369999.999999999,8460000.0,8560000.0,8660000.0,8760000.0,8880000.0,9000000.0,9120000.0,9240000.0
Burundi,5930000.0,5930000.0,5920000.0,6040000.0,6180000.0,6310000.0,6470000.0,6650000.0,6860000.0,7120000.0,7390000.0,7660000.0,7940000.0,8279999.999999999,8710000.0,9130000.0
Belgium,10100000.0,10100000.0,10200000.0,10200000.0,10200000.0,10300000.0,10300000.0,10400000.0,10400000.0,10500000.0,10500000.0,10600000.0,10700000.0,10700000.0,10800000.0,10900000.0
Benin,6050000.0,6200000.0,6390000.0,6580000.0,6790000.0,7000000.0,7210000.0,7430000.0,7660000.0,7890000.0,8150000.0,8400000.0,8650000.0,8910000.0,9170000.0,9450000.0
Burkina Faso,10400000.0,10600000.0,10900000.0,11200000.0,11500000.0,11900000.0,12200000.0,12600000.0,13000000.0,13400000.0,13900000.0,14300000.0,14800000.0,15200000.0,15700000.0,16100000.000000002
Bangladesh,118000000.0,120000000.0,122000000.0,124000000.0,127000000.0,129000000.0,132000000.0,134000000.0,137000000.0,139000000.0,141000000.0,143000000.0,144000000.0,145000000.0,147000000.0,148000000.0
Bulgaria,8480000.0,8400000.0,8320000.0,8230000.0,8160000.0,8100000.0,8029999.999999999,7970000.0,7920000.0,7870000.0,7820000.0,7770000.0,7720000.0,7670000.0,7630000.0,7590000.0
Bahrain,613000.0,633000.0,653000.0,672000.0,692000.0,711000.0,730000.0,748000.0,778000.0,833000.0,902000.0,971000.0,1040000.0,1110000.0,1180000.0,1210000.0
Bahamas,300000.0,305000.0,310000.0,315000.0,320000.0,325000.0,330000.0,334000.0,338000.0,343000.0,348000.0,353000.0,358000.0,363000.0,368000.0,373000.0
Bosnia and Herzegovina,3750000.0,3910000.0,4050000.0,4120000.0,4150000.0000000005,4179999.9999999995,4190000.0000000005,4200000.0,4179999.9999999995,4139999.9999999995,4090000.0,4059999.9999999995,4010000.0,3940000.0,3880000.0,3810000.0
Belarus,10500000.0,10400000.0,10400000.0,10400000.0,10300000.0,10300000.0,10200000.0,10100000.0,10100000.0,10000000.0,9940000.0,9870000.0,9830000.0,9790000.0,9760000.0,9730000.0
Belize,204000.0,210000.0,217000.0,225000.0,233000.0,240000.0,248000.0,256000.0,264000.0,272000.0,280000.0,289000.0,297000.0,306000.0,314000.0,322000.0
Bolivia,7840000.0,7990000.0,8140000.000000001,8289999.999999999,8440000.0,8590000.0,8750000.0,8900000.0,9060000.0,9220000.0,9380000.0,9540000.0,9710000.0,9880000.0,10100000.0,10200000.0
Brazil,164000000.0,166000000.0,169000000.0,171000000.0,173000000.0,176000000.0,178000000.0,180000000.0,183000000.0,185000000.0,187000000.0,189000000.0,191000000.0,193000000.0,195000000.0,196000000.0
Barbados,262000.0,263000.0,263000.0,264000.0,264000.0,265000.0,265000.0,266000.0,267000.0,269000.0,269000.0,270000.0,271000.0,273000.0,274000.0,275000.0
Brunei,299000.0,306000.0,313000.0,320000.0,327000.0,334000.0,341000.0,347000.0,354000.0,360000.0,367000.0,373000.0,379000.0,385000.0,390000.0,396000.0
Bhutan,528000.0,537000.0,547000.0,557000.0,571000.0,587000.0,603000.0,619000.0,635000.0,650000.0,663000.0,673000.0,682000.0,690000.0,698000.0,706000.0
Botswana,1540000.0,1580000.0,1620000.0,1660000.0,1690000.0,1730000.0,1760000.0,1800000.0,1830000.0,1860000.0,1890000.0,1930000.0,1970000.0,2009999.9999999998,2049999.9999999998,2089999.9999999998
Central African Republic,3280000.0,3360000.0,3460000.0,3560000.0,3660000.0,3760000.0,3840000.0,3930000.0,4030000.0000000005,4120000.0,4210000.0,4290000.0,4380000.0,4470000.0,4560000.0,4660000.0
Canada,29300000.0,29600000.0,29900000.0,30100000.0,30400000.0,30700000.0,31000000.0,31300000.0,31600000.0,31900000.0,32200000.000000004,32500000.0,32900000.0,33200000.000000004,33600000.0,34000000.0
Switzerland,7040000.0,7070000.0,7090000.0,7110000.0,7140000.0,7180000.0,7220000.0,7280000.0,7330000.0,7380000.0,7430000.0,7480000.0,7540000.0,7640000.0,7730000.0,7820000.0
Chile,14400000.0,14600000.0,14800000.0,15000000.0,15200000.0,15400000.0,15500000.0,15700000.0,15900000.0,16000000.0,16200000.0,16300000.0,16500000.0,16700000.0,16800000.0,17000000.0
China,1220000000.0,1230000000.0,1240000000.0,1250000000.0,1260000000.0,1260000000.0,1270000000.0,1280000000.0,1290000000.0,1300000000.0,1300000000.0,1310000000.0,1320000000.0,1330000000.0,1340000000.0,1350000000.0
Cote d'Ivoire,14300000.0,14800000.0,15300000.0,15900000.0,16300000.0,16800000.0,17200000.0,17700000.0,18100000.0,18500000.0,19000000.0,19400000.0,19800000.0,20200000.0,20700000.0,21100000.0
Cameroon,13200000.0,13600000.0,13900000.0,14300000.0,14700000.0,15100000.0,15500000.0,15900000.0,16399999.999999998,16800000.0,17300000.0,17800000.0,18300000.0,18800000.0,19300000.0,19900000.0
"Congo, Dem. Rep.",43300000.0,44100000.0,44800000.0,45900000.0,47200000.0,48600000.0,50100000.0,51700000.0,53200000.0,54800000.0,56600000.0,58400000.0,60300000.0,62200000.0,64300000.0,66400000.00000001
"Congo, Rep.",2740000.0,2820000.0,2880000.0,2940000.0,3020000.0,3130000.0,3250000.0,3330000.0,3420000.0,3540000.0,3670000.0,3810000.0,3960000.0,4090000.0,4260000.0,4440000.0
Colombia,36000000.0,36600000.0,37300000.0,37900000.0,38600000.0,39200000.0,39800000.0,40500000.0,41100000.0,41600000.0,42200000.0,42800000.0,43300000.0,43800000.0,44300000.0,44800000.0
Comoros,484000.0,494000.0,505000.0,516000.0,526000.0,537000.0,548000.0,559000.0,570000.0,581000.0,593000.0,605000.0,617000.0,629000.0,642000.0,656000.0
Cape Verde,411000.0,421000.0,431000.0,440000.0,450000.0,458000.0,466000.0,473000.0,480000.0,487000.0,493000.0,499000.0,505000.0,510000.0,516000.0,521000.0
Costa Rica,3570000.0,3660000.0,3740000.0,3820000.0,3900000.0,3980000.0,4050000.0,4120000.0,4190000.0000000005,4250000.0,4320000.0,4380000.0,4440000.0,4500000.0,4560000.0,4620000.0
Cuba,10900000.0,11000000.0,11000000.0,11000000.0,11100000.0,11100000.0,11100000.0,11200000.0,11200000.0,11200000.0,11200000.0,11300000.0,11300000.0,11300000.0,11300000.0,11300000.0
Cyprus,862000.0,880000.0,897000.0,915000.0,932000.0,948000.0,965000.0,982000.0,1000000.0,1020000.0,1040000.0,1060000.0,1070000.0,1090000.0,1110000.0,1130000.0
Czech Republic,10300000.0,10300000.0,10300000.0,10300000.0,10200000.0,10200000.0,10200000.0,10200000.0,10200000.0,10300000.0,10300000.0,10300000.0,10300000.0,10400000.0,10400000.0,10500000.0
Germany,81100000.0,81300000.0,81400000.0,81500000.0,81600000.0,81600000.0,81500000.0,81400000.0,81300000.0,81300000.0,81200000.0,81200000.0,81200000.0,81200000.0,81300000.0,81300000.0
Djibouti,630000.0,645000.0,668000.0,695000.0,719000.0,742000.0,765000.0,789000.0,806000.0,818000.0,831000.0,847000.0,865000.0,883000.0,901000.0,919000.0
Dominica,69200.0,69200.0,69100.0,68900.0,68700.0,68300.0,68200.0,68300.0,68400.0,68600.0,68700.0,68700.0,68800.0,68800.0,68800.0,68800.0
Denmark,5240000.0,5260000.0,5280000.0,5300000.0,5320000.0,5340000.0,5360000.0,5380000.0,5400000.0,5420000.0,5440000.0,5460000.0,5480000.0,5500000.0,5530000.0,5550000.0
Dominican Republic,7870000.0,8010000.0,8150000.0,8279999.999999999,8410000.0,8540000.0,8670000.0,8800000.0,8920000.0,9040000.0,9160000.0,9280000.0,9400000.0,9520000.0,9650000.0,9780000.0
Algeria,28500000.0,29000000.0,29500000.0,29900000.0,30300000.0,30800000.0,31200000.0,31600000.0,32100000.0,32500000.0,33000000.0,33400000.0,34000000.0,34600000.0,35200000.0,35900000.0
Ecuador,11600000.0,11800000.0,12000000.0,12200000.0,12400000.0,12600000.0,12800000.0,13100000.0,13300000.0,13500000.0,13800000.0,14000000.0,14300000.0,14500000.0,14700000.0,15000000.0
Egypt,64200000.0,65599999.99999999,67000000.0,68400000.0,69900000.0,71400000.0,72900000.0,74400000.0,76000000.0,77500000.0,79100000.0,80600000.0,82200000.0,83800000.0,85500000.0,87300000.0
Eritrea,2160000.0,2260000.0,2290000.0,2320000.0,2360000.0,2390000.0,2460000.0,2550000.0,2650000.0,2760000.0,2830000.0,2880000.0,2930000.0,3010000.0,3080000.0,3150000.0
Spain,39800000.0,40000000.0,40200000.0,40400000.0,40500000.0,40700000.0,41000000.0,41500000.0,42200000.0,43000000.0,43700000.0,44400000.0,45200000.0,46000000.0,46400000.0,46600000.0
Estonia,1450000.0,1430000.0,1420000.0,1410000.0,1400000.0,1400000.0,1390000.0,1380000.0,1370000.0,1360000.0,1350000.0,1350000.0,1340000.0,1340000.0,1330000.0,1330000.0
Ethiopia,57500000.0,59300000.0,61200000.0,63100000.0,65099999.99999999,67000000.0,69000000.0,71100000.0,73200000.0,75300000.0,77500000.0,79700000.0,82000000.0,84400000.0,86800000.0,89200000.0
Finland,5110000.0,5120000.0,5140000.0,5150000.0,5170000.0,5180000.0,5190000.0,5200000.0,5210000.0,5230000.0,5250000.0,5270000.0,5290000.0,5310000.0,5340000.0,5360000.0
Fiji,792000.0,797000.0,805000.0,814000.0,823000.0,833000.0,841000.0,850000.0,858000.0,867000.0,875000.0,883000.0,891000.0,897000.0,901000.0,905000.0
France,57400000.0,57600000.0,57800000.0,58100000.0,58400000.0,58700000.0,59000000.0,59400000.0,59700000.0,60100000.0,60500000.0,60900000.0,61300000.0,61700000.0,62100000.0,62400000.0
"Micronesia, Fed. Sts.",110000.0,111000.0,111000.0,111000.0,112000.0,112000.0,112000.0,112000.0,112000.0,111000.0,111000.0,110000.0,110000.0,109000.0,108000.0,108000.0
Gabon,1120000.0,1150000.0,1180000.0,1210000.0,1240000.0,1270000.0,1310000.0,1340000.0,1380000.0,1420000.0,1460000.0,1500000.0,1550000.0,1600000.0,1650000.0,1710000.0
United Kingdom,57900000.0,58100000.0,58300000.0,58400000.0,58600000.0,58900000.0,59100000.0,59400000.0,59600000.0,60000000.0,60400000.0,60800000.0,61300000.0,61700000.0,62200000.0,62800000.0
Georgia,4880000.0,4760000.0,4640000.0,4520000.0,4390000.0,4270000.0,4139999.9999999995,4059999.9999999995,4019999.9999999995,3990000.0,3960000.0,3930000.0,3910000.0,3880000.0,3860000.0,3840000.0
Ghana,17400000.0,17800000.0,18300000.0,18700000.0,19200000.0,19700000.0,20200000.0,20800000.0,21300000.0,21900000.0,22500000.0,23100000.0,23700000.0,24300000.0,25000000.0,25600000.0
Guinea,7470000.0,7680000.0,7840000.0,7990000.0,8170000.0,8340000.0,8450000.0,8580000.0,8770000.0,8960000.0,9140000.0,9330000.0,9550000.0,9780000.0,10000000.0,10300000.0
Gambia,1240000.0,1280000.0,1320000.0,1360000.0,1400000.0,1440000.0,1480000.0,1520000.0,1570000.0,1610000.0,1660000.0,1710000.0,1760000.0,1820000.0,1880000.0,1940000.0
Guinea-Bissau,1120000.0,1140000.0,1160000.0,1180000.0,1210000.0,1230000.0,1260000.0,1290000.0,1320000.0,1350000.0,1380000.0,1410000.0,1450000.0,1490000.0,1530000.0,1570000.0
Equatorial Guinea,561000.0,583000.0,606000.0,630000.0,655000.0,685000.0,719000.0,754000.0,790000.0,826000.0,865000.0,905000.0,949000.0,995000.0,1040000.0,1090000.0
Greece,10700000.0,10800000.0,10900000.0,10900000.0,11000000.0,11000000.0,11100000.0,11100000.0,11100000.0,11100000.0,11100000.0,11100000.0,11100000.0,11100000.0,11100000.0,11000000.0
Grenada,104000.0,105000.0,106000.0,106000.0,107000.0,107000.0,108000.0,108000.0,109000.0,110000.0,110000.0,111000.0,112000.0,112000.0,113000.0,114000.0
Guatemala,10400000.0,10600000.0,10900000.0,11200000.0,11500000.0,11700000.0,12000000.0,12300000.0,12600000.0,12900000.0,13100000.0,13400000.0,13700000.0,14000000.0,14300000.0,14500000.0
Guyana,752000.0,754000.0,755000.0,757000.0,758000.0,759000.0,760000.0,760000.0,761000.0,760000.0,760000.0,758000.0,757000.0,754000.0,751000.0,748000.0
"Hong Kong, China",6240000.0,6330000.0,6440000.0,6550000.0,6640000.0,6730000.0,6800000.0,6850000.0,6890000.0,6920000.0,6940000.0,6960000.0,7000000.0,7050000.0,7090000.0,7130000.0
Honduras,5810000.0,5980000.0,6140000.0,6310000.0,6480000.0,6660000.0,6840000.0,7020000.0,7200000.0,7380000.0,7560000.0,7750000.0,7920000.0,8100000.0,8279999.999999999,8450000.0
Croatia,4810000.0,4760000.0,4710000.0,4660000.0,4610000.0,4550000.0,4510000.0,4480000.0,4460000.0,4440000.0,4430000.0,4420000.0,4410000.0,4390000.0,4380000.0,4370000.0
Haiti,7630000.0,7770000.0,7920000.0,8060000.000000001,8210000.000000001,8359999.999999999,8510000.0,8660000.0,8810000.0,8960000.0,9110000.0,9270000.0,9420000.0,9580000.0,9730000.0,9840000.0
Hungary,10300000.0,10300000.0,10300000.0,10300000.0,10200000.0,10200000.0,10200000.0,10100000.0,10100000.0,10100000.0,10100000.0,10100000.0,10000000.0,10000000.0,10000000.0,9990000.0
Indonesia,198000000.0,201000000.0,205000000.0,208000000.0,211000000.0,214000000.0,217000000.0,220000000.0,223000000.0,226000000.0,229000000.0,232000000.0,235000000.0,238000000.0,241000000.0,244000000.0
India,964000000.0,983000000.0,1000000000.0,1020000000.0,1040000000.0,1060000000.0,1080000000.0,1100000000.0,1120000000.0,1140000000.0,1150000000.0,1170000000.0,1190000000.0,1210000000.0,1220000000.0,1240000000.0
Ireland,3580000.0,3610000.0,3640000.0,3680000.0,3720000.0,3770000.0,3830000.0,3890000.0,3960000.0,4030000.0000000005,4120000.0,4230000.0,4360000.0,4450000.0,4500000.0,4520000.0
Iran,60800000.0,61600000.0,62500000.0,63500000.0,64500000.0,65500000.0,66700000.0,67300000.0,68000000.0,69100000.0,70200000.0,71300000.0,72300000.0,73300000.0,74300000.0,75400000.0
Iraq,20900000.0,21600000.0,22300000.0,23100000.0,23800000.0,24600000.0,25400000.0,26300000.0,27100000.0,27900000.0,28700000.0,28900000.0,28700000.0,29200000.0,30300000.0,31300000.0
Iceland,268000.0,269000.0,271000.0,274000.0,278000.0,281000.0,285000.0,288000.0,290000.0,292000.0,297000.0,304000.0,312000.0,318000.0,319000.0,318000.0
Israel,5480000.0,5610000.0,5740000.0,5870000.0,5990000.0,6120000.0,6240000.0,6360000.0,6480000.0,6600000.0,6710000.0,6830000.0,6950000.0,7070000.0,7200000.0,7330000.0
Italy,56900000.0,56900000.0,56900000.0,56900000.0,56900000.0,57000000.0,57000000.0,57100000.0,57400000.0,57900000.0,58200000.0,58400000.0,58800000.0,59200000.0,59600000.0,59800000.0
Jamaica,2510000.0,2530000.0,2550000.0,2580000.0,2600000.0,2610000.0,2630000.0,2640000.0,2650000.0,2660000.0,2680000.0,2690000.0,2700000.0,2710000.0,2720000.0,2730000.0
Jordan,4460000.0,4610000.0,4730000.0,4840000.0,4950000.0,5060000.0,5160000.0,5280000.0,5400000.0,5530000.0,5680000.0,6080000.0,6470000.0,6630000.0,6780000.0,6930000.0
Japan,125000000.0,126000000.0,126000000.0,126000000.0,127000000.0,127000000.0,127000000.0,127000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0
