country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5
Angola,51.2,51.7,51.6,50.6,51.9,52.8,53.4,54.5,55.1,55.5,56.4,57.0,58.0,58.8,59.5,60.2
Albania,74.6,74.5,72.9,74.8,75.1,75.4,76.0,75.9,75.6,75.8,76.2,76.9,77.5,77.6,78.0,78.1
Andorra,79.8,80.0,80.2,80.4,80.6,80.8,80.9,81.1,81.2,81.3,81.4,81.5,81.7,81.8,81.8,81.8
United Arab Emirates,68.8,68.9,69.0,69.2,69.2,69.1,69.2,69.4,69.3,69.1,69.2,69.5,70.0,70.4,70.6,70.8
Argentina,73.4,73.5,73.6,73.7,73.8,74.2,74.3,74.3,74.4,74.9,75.3,75.4,75.3,75.7,75.8,75.9
Armenia,70.1,70.4,71.1,71.6,71.9,72.4,72.5,72.7,72.8,73.0,73.0,73.1,73.5,73.5,73.6,73.9
Antigua and Barbuda,73.3,74.0,73.5,74.5,74.7,74.8,75.1,75.4,75.6,75.7,75.9,75.9,75.1,75.2,75.8,75.9
Australia,78.3,78.5,78.8,79.1,79.4,79.7,80.1,80.3,80.6,80.9,81.2,81.5,81.5,81.7,81.9,82.1
Austria,77.0,77.3,77.7,77.9,78.2,78.5,78.9,79.0,79.1,79.5,79.8,80.1,80.3,80.5,80.5,80.8
Azerbaijan,64.7,65.3,65.7,66.0,66.2,66.5,67.1,67.2,67.1,67.2,67.3,67.7,68.2,68.5,68.8,69.0
Burundi,43.4,43.0,43.0,43.9,44.3,44.7,45.8,46.9,47.9,49.2,50.3,54.5,55.7,56.8,57.7,58.5
Belgium,77.0,77.3,77.5,77.7,77.8,78.0,78.3,78.5,78.7,79.1,79.3,79.6,79.8,79.9,80.0,80.2
Benin,56.9,56.9,57.1,57.2,57.3,57.4,57.6,57.9,58.1,58.5,58.8,59.1,59.5,60.1,60.7,61.1
Burkina Faso,50.7,50.0,50.8,51.6,52.1,52.5,52.9,53.4,54.0,54.6,55.3,56.0,56.5,57.1,57.6,57.9
Bangladesh,62.2,63.1,63.8,64.5,65.1,65.5,66.0,66.3,66.7,67.1,67.4,67.8,68.2,69.0,69.6,70.0
Bulgaria,69.4,69.3,68.9,69.4,70.0,70.2,70.4,70.7,70.9,71.0,71.1,71.2,71.5,71.9,72.1,72.3
Bahrain,70.5,70.7,70.9,71.0,71.2,71.7,73.4,72.7,72.2,72.3,72.7,73.0,73.6,74.0,74.5,75.0
Bahamas,70.8,70.4,71.1,71.4,70.8,71.3,71.3,71.9,72.4,72.4,73.2,73.0,73.6,73.5,73.2,73.2
Bosnia and Herzegovina,66.2,73.5,73.9,74.9,75.4,75.5,75.3,75.1,75.3,75.5,75.3,75.6,75.3,75.9,76.1,76.3
Belarus,68.7,68.9,68.7,68.4,68.2,69.0,68.6,68.0,68.6,69.0,68.8,69.5,70.4,70.5,70.6,70.6
Belize,72.9,72.2,71.4,70.6,70.3,70.0,70.6,71.4,71.8,72.0,72.4,72.6,73.1,73.6,73.7,73.6
Bolivia,64.0,64.6,65.0,65.5,66.0,66.5,67.2,67.6,68.1,68.6,69.0,69.3,69.6,69.8,70.1,70.3
Brazil,69.2,69.5,70.1,70.4,70.8,71.2,71.5,71.8,72.0,72.3,72.8,73.1,73.3,73.5,73.7,73.8
Barbados,73.9,74.1,74.2,74.5,74.8,74.7,75.2,75.1,74.9,74.9,75.2,75.4,75.5,75.8,76.1,76.2
Brunei,71.5,72.0,72.1,72.2,72.3,72.5,72.8,72.9,72.9,72.9,73.0,73.2,73.5,73.8,73.8,73.8
Bhutan,63.4,64.2,64.8,65.4,66.0,65.7,67.1,67.7,68.2,68.6,69.0,69.5,69.9,70.3,70.5,71.0
Botswana,52.5,50.6,49.0,47.6,46.4,45.5,45.0,44.9,45.7,47.5,49.9,51.4,53.4,54.7,56.1,57.0
Central African Republic,44.7,44.2,43.8,43.8,43.8,43.8,43.9,44.2,44.5,44.8,45.2,45.6,46.1,46.8,47.4,47.8
Canada,78.1,78.4,78.6,78.8,79.1,79.4,79.6,79.8,80.0,80.2,80.4,80.7,80.9,81.1,81.4,81.6
Switzerland,78.9,79.3,79.6,79.9,80.1,80.3,80.6,80.9,81.1,81.4,81.7,81.9,82.2,82.4,82.5,82.8
Chile,75.3,75.5,76.0,76.2,76.5,76.9,77.0,77.4,77.4,77.6,77.9,78.2,78.4,78.7,78.6,78.6
China,69.8,70.1,70.5,70.9,71.2,71.3,71.7,72.0,72.3,72.5,73.0,73.7,74.2,74.3,74.7,74.9
Cote d'Ivoire,51.7,51.3,51.1,50.9,51.0,51.1,51.5,51.7,52.1,52.6,53.5,54.4,55.3,56.3,57.0,57.4
Cameroon,56.6,56.2,55.7,55.2,54.8,54.5,54.3,54.2,54.3,54.6,55.0,55.4,55.9,56.6,57.2,57.7
"Congo, Dem. Rep.",53.6,52.0,53.1,53.3,53.5,53.9,54.2,54.4,54.8,55.5,56.1,56.7,57.1,57.5,58.0,58.8
"Congo, Rep.",52.3,52.1,46.7,50.3,52.2,53.0,54.0,54.7,55.3,56.1,57.0,57.8,58.5,59.4,60.3,60.9
Colombia,72.5,72.8,73.5,74.0,74.1,74.2,74.4,73.4,75.2,75.6,76.5,76.7,77.3,77.6,77.5,77.9
Comoros,59.8,59.2,60.1,60.3,61.2,61.4,62.2,62.5,63.3,63.8,64.1,64.4,64.5,65.3,64.8,65.9
Cape Verde,68.7,69.7,69.5,69.7,69.7,70.3,70.6,70.8,71.2,71.5,71.8,72.9,73.2,73.9,74.1,74.4
Costa Rica,76.5,77.1,77.2,77.4,77.3,77.9,77.9,78.4,78.5,78.6,79.4,79.1,80.3,80.3,80.6,79.5
Cuba,75.4,75.8,76.2,76.3,76.6,77.0,77.2,77.9,77.8,77.8,77.7,78.4,78.5,78.4,78.5,78.5
Cyprus,75.5,75.8,75.9,76.0,76.3,76.7,77.1,77.3,77.7,77.9,77.9,78.2,78.3,78.8,79.1,79.5
Czech Republic,73.4,74.0,74.1,74.7,75.0,75.2,75.5,75.7,75.6,76.1,76.4,77.0,77.2,77.3,77.6,77.8
Germany,76.9,77.1,77.5,77.8,78.1,78.4,78.7,78.8,78.9,79.3,79.6,79.9,80.0,80.2,80.3,80.5
Djibouti,60.5,60.5,60.4,60.2,60.3,60.4,60.5,60.6,60.9,61.0,61.4,61.4,62.1,62.5,62.9,63.2
Dominica,71.7,71.9,72.1,71.9,72.1,72.1,72.2,72.3,72.2,72.3,72.6,72.6,72.5,72.7,72.7,72.4
Denmark,75.6,75.9,76.3,76.7,76.7,77.2,77.3,77.4,77.7,78.0,78.3,78.5,78.7,79.0,79.2,79.5
